82169.344,434257.156
82168.461,434284.219
82167.703,434311.25
82167.039,434338.5
82166.492,434366.063
82166.07,434393.438
82165.766,434420.375
82165.57,434446.813
82165.469,434472.938
82165.438,434499
82165.469,434525
82165.547,434551
82165.641,434577.125
82165.711,434603.5
82165.727,434629.938
82165.672,434656.469
82165.484,434683.063
82165.133,434709.594
81876.008,433855.125
81858.766,433850.125
81841.453,433844.813
81824.141,433839.313
81806.867,433833.625
81789.805,433827.938
81772.914,433822.313
81756.047,433816.719
81739.313,433811.188
81722.758,433805.813
81706.383,433800.5
81690.172,433795.344
81674.109,433790.25
81658.172,433785.25
81642.375,433780.344
81626.703,433775.438
81611.125,433770.594
81177.703,434235.969
81179.344,434263.781
81181.258,434290.75
81183.43,434317.25
81185.828,434343.5
81188.445,434369.688
81205.938,434394
81209.055,434419.969
81212.422,434446.156
81216.039,434472.625
81219.898,434499.25
81223.992,434525.938
81228.328,434552.906
81232.852,434580.125
81237.5,434607.469
81242.25,434634.969
81247.039,434662.563
81251.836,434690.156
81256.656,434717.938
81261.5,434745.906
81266.313,434773.813
81271.094,434801.625
81275.875,434829.406
